filename	ATTRIBUTE_Lab	ATTRIBUTE_Type	ATTRIBUTE_Mix
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep2.mzML	5	Sample	M
DOM_Interlab-LCMS_Lab005_M_Pos_MS2_rep3.mzML	5	Sample	M
DOM_Interlab-LCMS_Lab005_A5M_Pos_MS2_rep3.mzML	5	Sample	A5M
DOM_Interlab-LCMS_Lab6_PPL_Pos_MS2_rep1.mzML	6	Blank	B
DOM_Interlab-LCMS_Lab6_A_Pos_MS2_rep2.mzML	6	Sample	A
DOM_Interlab-LCMS_Lab6_A_Pos_MS2_rep3.mzML	6	Sample	A
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep1.mzML	6	Sample	A15M
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep1.mzML	6	Sample	M
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep1.mzML	6	Sample	A45M
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep2.mzML	6	Sample	A5M
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep2.mzML	6	Sample	A45M
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep1.mzML	6	Sample	A5M
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep2.mzML	6	Sample	M
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep3.mzML	6	Sample	A45M
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep3.mzML	6	Sample	M
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep2.mzML	6	Sample	A15M
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep3.mzML	6	Sample	A5M
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep3.mzML	6	Sample	A15M
DOM_Interlab-LCMS_Lab7_PPLblank_POS_MS2_rep1.mzML	7	Blank	B
DOM_Interlab-LCMS_Lab7_A_POS_MS2_rep1.mzML	7	Sample	A
DOM_Interlab-LCMS_Lab7_A_POS_MS2_rep2.mzML	7	Sample	A
DOM_Interlab-LCMS_Lab7_A_POS_MS1_rep3.mzML	7	Sample	A
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep1.mzML	7	Sample	A5M
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep1.mzML	7	Sample	M
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep2.mzML	7	Sample	A5M
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep3.mzML	7	Sample	A5M
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep2.mzML	7	Sample	M
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep3.mzML	7	Sample	M
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep1.mzML	7	Sample	A15M
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep2.mzML	7	Sample	A15M
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep3.mzML	7	Sample	A15M
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep1.mzML	7	Sample	A45M
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep2.mzML	7	Sample	A45M
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep3.mzML	7	Sample	A45M
DOM_Interlab-LCMS_Lab8_PPLBlk_Pos_MS2_rep1.mzML	8	Blank	B
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep2.mzML	8	Sample	A45M
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep3.mzML	8	Sample	A
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep1.mzML	8	Sample	M
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep1.mzML	8	Sample	A15M
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep2.mzML	8	Sample	A15M
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep2.mzML	8	Sample	A
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep1.mzML	8	Sample	A
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep2.mzML	8	Sample	M
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep1.mzML	8	Sample	A45M
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep3.mzML	8	Sample	A45M
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep1.mzML	8	Sample	A5M
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep2.mzML	8	Sample	A5M
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep3.mzML	8	Sample	M
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep3.mzML	8	Sample	A15M
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep3.mzML	8	Sample	A5M
DOM_Interlab-LCMS_Lab9_PPLBlank_Pos_MS2_rep1.mzML	9	Blank	B
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep1.mzML	9	Sample	A
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep3.mzML	9	Sample	A
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep2.mzML	9	Sample	A
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep1.mzML	9	Sample	A45M
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep2.mzML	9	Sample	A45M
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep1.mzML	9	Sample	M
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep2.mzML	9	Sample	A15M
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep1.mzML	9	Sample	A15M
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep1.mzML	9	Sample	A5M
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep2.mzML	9	Sample	A5M
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep2.mzML	9	Sample	M
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep3.mzML	9	Sample	A45M
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep3.mzML	9	Sample	M
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep3.mzML	9	Sample	A15M
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep3.mzML	9	Sample	A5M
DOM_Interlab_LCMS_Lab012_PPLBlank_Pos_MS2_rep1.mzML	12	Blank	B
DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep3.mzML	12	Sample	M
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep1.mzML	12	Sample	A5M
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep2.mzML	12	Sample	A5M
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep2.mzML	12	Sample	A
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep3.mzML	12	Sample	A5M
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep1_5uL.mzML	12	Sample	A
DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep2.mzML	12	Sample	M
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep1.mzML	12	Sample	A
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep2_5uL.mzML	12	Sample	A15M
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep1_5uL.mzML	12	Sample	A15M
DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep3.mzML	12	Sample	A
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep3_5uL.mzML	12	Sample	A15M
DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep1.mzML	12	Sample	M
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep2_5uL.mzML	12	Sample	A45M
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep3_5uL.mzML	12	Sample	A45M
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep1_5uL.mzML	12	Sample	A45M
DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML	15	Blank	B
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML	15	Sample	M
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML	15	Sample	A5M
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML	15	Sample	A5M
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML	15	Sample	M
DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML	15	Sample	A
DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML	15	Sample	A
DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML	15	Sample	A
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML	15	Sample	A5M
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML	15	Sample	A15M
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML	15	Sample	A15M
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML	15	Sample	M
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML	15	Sample	A15M
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML	15	Sample	A45M
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML	15	Sample	A45M
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML	15	Sample	A45M
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep2.mzXML	16	Sample	A
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep2.mzML	16	Sample	A15M
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep3.mzXML	16	Sample	A
DOM_Interlab-LCMS_Lab16_Blank_Pos_MS2_rep1.mzML	16	Blank	B
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep2.mzML	16	Sample	A5M
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep1.mzML	16	Sample	A15M
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep3.mzML	16	Sample	A15M
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep1.mzML	16	Sample	M
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep1.mzXML	16	Sample	A
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep2.mzML	16	Sample	M
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep3.mzML	16	Sample	M
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep3.mzML	16	Sample	A5M
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep3.mzML	16	Sample	A45M
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep2.mzML	16	Sample	A45M
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep1.mzML	16	Sample	A45M
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep1.mzML	16	Sample	A5M
DOM_Interlab-LCMS_Lab018_PPLBlank_Pos_MS2_rep1.mzML	18	Blank	B
DOM_Interlab-LCMS_Lab018_M_Pos_MS2_rep1.mzML	18	Sample	M
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep2.mzML	18	Sample	A15M
DOM_Interlab-LCMS_Lab018_A5M_Pos_MS2_rep1.mzML	18	Sample	A5M
DOM_Interlab-LCMS_Lab018_A5M_Pos_MS2_rep2.mzML	18	Sample	A5M
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep1.mzML	18	Sample	A15M
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep3.mzML	18	Sample	A
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep2.mzML	18	Sample	A
DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep1.mzML	18	Sample	A
DOM_Interlab-LCMS_Lab018_M_Pos_MS2_rep2.mzML	18	Sample	M
DOM_Interlab-LCMS_Lab018_A15M_Pos_MS2_rep3.mzML	18	Sample	A15M
DOM_Interlab-LCMS_Lab018_M_Pos_MS2_rep3.mzML	18	Sample	M
DOM_Interlab-LCMS_Lab018_A5M_Pos_MS2_rep3.mzML	18	Sample	A5M
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep2.mzML	18	Sample	A45M
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep1.mzML	18	Sample	A45M
DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep3.mzML	18	Sample	A45M
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep1.mzML	19	Sample	A45M
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep1.mzML	19	Sample	A15M
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep1.mzML	19	Sample	A5M
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep1.mzML	19	Sample	M
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep2.mzML	19	Sample	A45M
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep2.mzML	19	Sample	A15M
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep2.mzML	19	Sample	M
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep2.mzML	19	Sample	A5M
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep3.mzML	19	Sample	A5M
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep3.mzML	19	Sample	A45M
DOM_Interlab-LCMS_Lab19_Blank_Pos_MS2_rep1.mzML	19	Blank	B
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep3.mzML	19	Sample	M
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep2.mzML	19	Sample	A
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep1.mzML	19	Sample	A
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep3.mzML	19	Sample	A
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep3.mzML	19	Sample	A15M
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep1.mzML	22	Sample	A15M
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep1.mzML	22	Sample	A45M
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep1.mzML	22	Sample	M
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep1.mzML	22	Sample	A5M
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep2.mzML	22	Sample	A15M
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep2.mzML	22	Sample	A45M
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep2.mzML	22	Sample	M
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep3.mzML	22	Sample	A15M
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep2.mzML	22	Sample	A5M
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep3.mzML	22	Sample	A45M
DOM_Interlab-LCMS_lab22_Blank_POS_MSMS.mzML	22	Blank	B
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep3.mzML	22	Sample	A
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep2.mzML	22	Sample	A
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep1.mzML	22	Sample	A
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep3.mzML	22	Sample	M
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep3.mzML	22	Sample	A5M
DOM_Interlab-LCMS_Lab26_PPLBlank_Pos_MS2_rep1.mzML	26	Blank	B
DOM_Interlab-LCMS_Lab26_A_Pos_MS2_rep1.mzML	26	Sample	A
DOM_Interlab-LCMS_Lab26_A45M_Pos_MS2_rep1.mzML	26	Sample	A45M
DOM_Interlab-LCMS_Lab26_A_Pos_MS2_rep2.mzML	26	Sample	A
DOM_Interlab-LCMS_Lab26_A5M_Pos_MS2_rep1.mzML	26	Sample	A5M
DOM_Interlab-LCMS_Lab26_M_Pos_MS2_rep1.mzML	26	Sample	M
DOM_Interlab-LCMS_Lab26_A15M_Pos_MS2_rep1.mzML	26	Sample	A15M
DOM_Interlab-LCMS_Lab26_A45M_Pos_MS2_rep2.mzML	26	Sample	A45M
DOM_Interlab-LCMS_Lab26_A5M_Pos_MS2_rep2.mzML	26	Sample	A5M
DOM_Interlab-LCMS_Lab26_M_Pos_MS2_rep2.mzML	26	Sample	M
DOM_Interlab-LCMS_Lab26_A15M_Pos_MS2_rep2.mzML	26	Sample	A15M
DOM_Interlab-LCMS_Lab30_PPL_POS_MS2_rep1.mzML	30	Blank	B
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep1.mzML	30	Sample	A
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep2.mzML	30	Sample	A15M
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep2.mzML	30	Sample	A
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep3.mzML	30	Sample	A
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep1.mzML	30	Sample	A15M
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep3.mzML	30	Sample	A15M
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep2.mzML	30	Sample	A45M
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep1.mzML	30	Sample	A45M
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep1.mzML	30	Sample	A5M
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep1.mzML	30	Sample	M
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep2.mzML	30	Sample	A5M
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep2.mzML	30	Sample	M
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep3.mzML	30	Sample	A45M
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep3.mzML	30	Sample	A5M
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep3.mzML	30	Sample	M
