filename	ATTRIBUTE_Lab	ATTRIBUTE_Mix	ATTRIBUTE_Type
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep1.mzML	2	A	Sample
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep2.mzML	2	A	Sample
Interlab-LC-MS_Lab2_A_Pos_MS2_Rep3.mzML	2	A	Sample
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep1.mzML	2	A15M	Sample
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep2.mzML	2	A15M	Sample
Interlab-LC-MS_Lab2_A15M_Pos_MS2_Rep3.mzML	2	A15M	Sample
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep1.mzML	2	A45M	Sample
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep2.mzML	2	A45M	Sample
Interlab-LC-MS_Lab2_A45M_Pos_MS2_Rep3.mzML	2	A45M	Sample
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep1.mzML	2	A5M	Sample
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep2.mzML	2	A5M	Sample
Interlab-LC-MS_Lab2_A5M_Pos_MS2_Rep3.mzML	2	A5M	Sample
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep1.mzML	2	M	Sample
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep2.mzML	2	M	Sample
Interlab-LC-MS_Lab2_M_Pos_MS2_Rep3.mzML	2	M	Sample
Interlab-LC-MS_Lab2_PPL_Pos_MS2_Rep1.mzML	2	B	Blank
